"Station Name","ROUYN-NORANDA A"
"Province","QUEBEC"
"Current Station Operator","NAV Canada"
"Latitude","48.21"
"Longitude","-78.84"
"Elevation","301.10"
"Climate Identifier","7086719"
"WMO Identifier",""
"TC Identifier","YUY"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp","Temp Flag","Dew Point Temp","Dew Point Temp Flag","Rel Hum","Rel Hum Flag","Wind Dir","Wind Dir Flag","Wind Spd","Wind Spd Flag","Visibility","Visibility Flag","Stn Press","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-06-18 10:00","2018","06","18","10:00","16.7","","15.2","","91","","35","","18","","24.1","","97.30","","","","","","Cloudy"
"2018-06-18 11:00","2018","06","18","11:00","14.9","","14.1","","94","","36","","16","","4.8","","97.37","","","","","","Rain Showers,Fog"
"2018-06-18 12:00","2018","06","18","12:00","15.2","","14.6","","96","","30","","5","","8.1","","97.40","","","","","","Rain,Fog"
"2018-06-18 13:00","2018","06","18","13:00","16.5","","15.0","","91","","32","","11","","24.1","","97.40","","","","","","Rain"
"2018-06-18 14:00","2018","06","18","14:00","17.6","","15.0","","85","","27","","9","","24.1","","97.35","","","","","","NA"
"2018-06-18 15:00","2018","06","18","15:00","19.1","","14.7","","76","","25","","3","","24.1","","97.36","","","","","","NA"
"2018-06-18 16:00","2018","06","18","16:00","19.8","","15.1","","74","","34","","9","","24.1","","97.42","","","","","","Mostly Cloudy"
"2018-06-18 17:00","2018","06","18","17:00","18.3","","16.1","","87","","26","","7","","24.1","","97.43","","","","","","NA"
"2018-06-18 18:00","2018","06","18","18:00","20.1","","13.6","","66","","35","","20","","24.1","","97.50","","","","","","NA"
"2018-06-18 19:00","2018","06","18","19:00","18.0","","10.8","","63","","36","","23","","24.1","","97.62","","","","","","Mainly Clear"
"2018-06-18 20:00","2018","06","18","20:00","14.8","","9.7","","71","","36","","20","","24.1","","97.78","","","","","","NA"
"2018-06-18 21:00","2018","06","18","21:00","13.1","","8.4","","73","","2","","16","","24.1","","97.91","","","","","","NA"
"2018-06-18 22:00","2018","06","18","22:00","12.7","","7.8","","72","","1","","15","","24.1","","98.02","","","","","","Mainly Clear"
"2018-06-18 23:00","2018","06","18","23:00","11.0","","7.8","","80","","1","","7","","24.1","","98.03","","","","","","NA"
"2018-06-19 00:00","2018","06","19","00:00","7.3","","6.2","","93","","0","","1","","24.1","","98.05","","","","","","NA"
"2018-06-19 01:00","2018","06","19","01:00","5.9","","5.1","","94","","36","","2","","24.1","","98.06","","","","","","Clear"
"2018-06-19 02:00","2018","06","19","02:00","4.4","","3.8","","96","","36","","1","","24.1","","98.05","","","","","","NA"
"2018-06-19 03:00","2018","06","19","03:00","3.4","","2.9","","97","","24","","3","","24.1","","98.07","","","","","","NA"
"2018-06-19 04:00","2018","06","19","04:00","3.3","","2.7","","96","","36","","1","","24.1","","98.11","","","","","","Clear"
"2018-06-19 05:00","2018","06","19","05:00","3.9","","3.7","","99","","24","","3","","0.8","","98.15","","","","","","Fog"
"2018-06-19 06:00","2018","06","19","06:00","8.9","","8.5","","97","","25","","4","","24.1","","98.19","","","","","","NA"
"2018-06-19 07:00","2018","06","19","07:00","12.5","","9.9","","84","","29","","8","","24.1","","98.27","","","","","","Clear"
"2018-06-19 08:00","2018","06","19","08:00","15.3","","7.1","","58","","1","","16","","24.1","","98.25","","","","","","NA"
"2018-06-19 09:00","2018","06","19","09:00","16.1","","8.1","","59","","36","","14","","24.1","","98.23","","","","","","NA"
"2018-06-19 10:00","2018","06","19","10:00","17.5","","7.5","","52","","33","","18","","24.1","","98.21","","","","","","Clear"
"2018-06-19 11:00","2018","06","19","11:00","18.2","","6.1","","45","","32","","12","","24.1","","98.17","","","","","","NA"
"2018-06-19 12:00","2018","06","19","12:00","19.4","","6.5","","43","","27","","11","","24.1","","98.12","","","","","","NA"
"2018-06-19 13:00","2018","06","19","13:00","20.3","","7.8","","44","","27","","12","","24.1","","98.08","","","","","","Clear"
"2018-06-19 14:00","2018","06","19","14:00","21.0","","6.9","","40","","32","","17","","24.1","","98.04","","","","","","NA"
"2018-06-19 15:00","2018","06","19","15:00","21.6","","7.5","","40","","28","","11","","24.1","","97.97","","","","","","NA"
